Year, Month,Quarter,CustomerType,TypeOfCalling,Vertical,Monthly Reccuring Revenue in INR
2014,June,Q2,0,Outbound,Gaming,787500
2014,June,Q2,0,Outbound,High Technology,157500
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,26250
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,1700
2014,June,Q2,Existing Customer,Outbound,Retail,3958
2014,June,Q2,Existing Customer,Outbound,Hotel & Travel,10094
2014,June,Q2,Existing Customer,Inbound,Public Sector,2220
2014,June,Q2,Existing Customer,Outbound,High Technology,251
2014,June,Q2,Existing Customer,Outbound,Public Sector,3450
2014,June,Q2,Existing Customer,Outbound,Consumer Goods,1200
2014,June,Q2,Existing Customer,Outbound,Energy & Utilities,2500
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,375
2014,June,Q2,Existing Customer,Outbound,Gaming,330000
2014,June,Q2,Existing Customer,Outbound,Retail,1000
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,11813
2014,June,Q2,Existing Customer,Outbound,High Technology,73000
2014,June,Q2,Existing Customer,Outbound,High Technology,520200
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,170107
2014,June,Q2,Existing Customer,Outbound,Business Services,5595
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,375
2014,June,Q2,Existing Customer,Outbound,High Technology,4000
2014,June,Q2,Existing Customer,Outbound,Retail,1412
2014,June,Q2,Existing Customer,Outbound,Retail,7869
2014,June,Q2,Existing Customer,Outbound,Retail,58008
2014,June,Q2,Existing Customer,Outbound,Financial Services,31187
2014,June,Q2,Existing Customer,Outbound,Retail,5111
2014,June,Q2,Existing Customer,Outbound,Retail,18300
